Plant Andromeda in a garden, gardener.
Plant Evening Primrose in a garden, gardener.
Plant French Marigold in a garden, gardener.
Plant Hydrangea in a garden, gardener.
Plant Japanese Camellia in a garden, gardener.
Plant Lilac in a garden, gardener.
Plant Magnolia in a garden, gardener.
Plant Queen Anne's Lace in a garden, gardener.
Plant Snapdragon in a garden, gardener.
Plant Sunflower in a garden, gardener.
Plant Witch Hazel in a garden, gardener.
Plant Bellflower in a garden, gardener.
Plant China Pink in a window box, me.
Plant Daffodil in a window box, me.
Plant Golden Hakone Grass in a window box, me.
Plant Iris in a window box, me.
Plant Lavender in a window box, me.
Plant Peony in a window box, me.
Plant Red Hot Poker in a window box, me.
Plant Tiger Lily in a window box, me.
